Número de cotización,Fecha de creación,Estado,Side Cliente,Creado por,Número de Cuenta,Monto intercambio,Monto Pagado,Moneda,Precio,Comisión,Fecha de actualización,Transacción Id,Tipo de servicio,OMS
43,"18/04/2025 17:29:52, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,3.79,50.00,BOB,13.21,0.11,18/04/2025 17:30:06,6857155600,S-001,Banexcoin Bolivia
47,"18/04/2025 18:38:18, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.76,10.00,BOB,13.21,0.03,18/04/2025 18:38:31,208755380,S-001,Banexcoin Bolivia
48,"18/04/2025 18:39:21, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.76,10.00,BOB,13.21,0.03,18/04/2025 18:39:50,6857304960,S-001,Banexcoin Bolivia
49,"18/04/2025 18:40:18, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.76,10.00,BOB,13.21,0.03,18/04/2025 18:40:34,6857306620,S-001,Banexcoin Bolivia
50,"18/04/2025 18:40:58, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.76,10.00,BOB,13.21,0.03,18/04/2025 18:41:12,6857308000,S-001,Banexcoin Bolivia
51,"18/04/2025 18:42:31, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.76,10.00,BOB,13.21,0.03,18/04/2025 18:42:52,6857311800,S-001,Banexcoin Bolivia
52,"18/04/2025 18:43:11, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.30,4.00,BOB,13.21,0.03,18/04/2025 18:43:22,6857312760,S-001,Banexcoin Bolivia
53,"18/04/2025 18:44:29, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,3.79,50.00,BOB,13.21,0.11,18/04/2025 18:44:42,6857315630,S-001,Banexcoin Bolivia
54,"18/04/2025 18:45:08, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.76,10.00,BOB,13.21,0.03,18/04/2025 18:45:22,6857317100,S-001,Banexcoin Bolivia
55,"18/04/2025 18:48:52, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,1.51,20.00,BOB,13.21,0.05,18/04/2025 18:49:04,208757200,S-001,Banexcoin Bolivia
57,"20/04/2025 13:32:35, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,9.09,120.00,BOB,13.21,0.27,20/04/2025 13:32:45,6862281620,S-001,Banexcoin Bolivia
58,"20/04/2025 14:07:18, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.38,5.00,BOB,13.21,0.03,20/04/2025 14:07:30,6862380050,S-001,Banexcoin Bolivia
59,"21/04/2025 15:09:23, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.75,10.00,BOB,13.32,0.03,21/04/2025 15:10:08,6865442300,S-001,Banexcoin Bolivia
60,"21/04/2025 15:19:12, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.38,5.00,BOB,13.32,0.03,21/04/2025 15:19:26,209426890,S-001,Banexcoin Bolivia
61,"21/04/2025 15:46:03, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.23,3.00,BOB,13.32,0.03,21/04/2025 15:46:19,6865580290,S-001,Banexcoin Bolivia
62,"21/04/2025 19:38:11, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.30,4.00,BOB,13.32,0.03,21/04/2025 19:38:34,6866510550,S-001,Banexcoin Bolivia
68,"22/04/2025 15:19:24, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.75,10.00,BOB,13.32,0.03,22/04/2025 15:20:11,209720530,S-001,Banexcoin Bolivia
69,"22/04/2025 20:01:03, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,0.75,10.00,BOB,13.32,0.03,22/04/2025 20:01:56,6869920370,S-001,Banexcoin Bolivia
99,"23/04/2025 17:17:44, UTC -04:00",Completed,Sell,OscarVargas212025,10011,0.38,5.00,BOB,13.32,0.03,23/04/2025 17:18:05,210047220,S-001,Banexcoin Bolivia
106,"23/04/2025 18:59:36, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,7.51,100.00,BOB,13.32,0.23,23/04/2025 18:59:50,6873103820,S-001,Banexcoin Bolivia
107,"23/04/2025 19:34:56, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.11,1.50,BOB,13.32,0.03,23/04/2025 19:35:11,6873252270,S-001,Banexcoin Bolivia
108,"23/04/2025 21:02:43, UTC -04:00",Completed,Sell,OscarTorres64Co,10009,0.08,1.00,BOB,13.32,0.03,23/04/2025 21:02:55,210118140,S-001,Banexcoin Bolivia
111,"24/04/2025 12:17:56, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.30,4.00,BOB,13.32,0.03,24/04/2025 12:18:12,6874995900,S-001,Banexcoin Bolivia
114,"24/04/2025 16:36:28, UTC -04:00",Completed,Sell,PatriciaRomero37Pro,10010,0.37,5.00,BOB,13.66,0.03,24/04/2025 16:36:46,210330470,S-001,Banexcoin Bolivia
115,"24/04/2025 17:36:12, UTC -04:00",Completed,Sell,AlbertoLeon10007,10008,2.56,35.00,BOB,13.66,0.08,24/04/2025 17:36:27,6876272160,S-001,Banexcoin Bolivia
119,"24/04/2025 19:13:40, UTC -04:00",Completed,Sell,AlbertoLeon10007,10008,3.60,49.20,BOB,13.66,0.11,24/04/2025 19:13:57,6876699320,S-001,Banexcoin Bolivia
137,"25/04/2025 12:57:25, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.71,10.00,BOB,14.09,0.03,25/04/2025 12:57:37,6878720280,S-001,Banexcoin Bolivia
138,"25/04/2025 17:31:38, UTC -04:00",Completed,Sell,OscarTorres64Co,10009,4.52,63.10,BOB,13.97,0.14,25/04/2025 17:31:55,6879823470,S-001,Banexcoin Bolivia
139,"25/04/2025 23:30:25, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.14,2.00,BOB,13.97,0.03,25/04/2025 23:30:53,6881028870,S-001,Banexcoin Bolivia
140,"25/04/2025 23:31:36, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.18,2.50,BOB,13.97,0.03,25/04/2025 23:31:49,6881030010,S-001,Banexcoin Bolivia
141,"25/04/2025 23:44:16, UTC -04:00",Completed,Sell,OscarVargas212025,10011,4.41,61.56,BOB,13.96,0.13,25/04/2025 23:44:30,6881045390,S-001,Banexcoin Bolivia
143,"26/04/2025 10:51:59, UTC -04:00",Completed,Sell,PatriciaRomero37Pro,10010,9.61,135.00,BOB,14.05,0.29,26/04/2025 10:52:18,6881890710,S-001,Banexcoin Bolivia
144,"26/04/2025 13:30:30, UTC -04:00",Completed,Sell,PatriciaRomero37Pro,10010,0.14,2.00,BOB,14.04,0.03,26/04/2025 13:30:45,210871920,S-001,Banexcoin Bolivia
145,"26/04/2025 16:51:46, UTC -04:00",Completed,Sell,OscarVargas212025,10011,10.68,150.00,BOB,14.05,0.32,26/04/2025 16:52:04,6883510450,S-001,Banexcoin Bolivia
146,"26/04/2025 21:49:54, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,0.36,5.00,BOB,14.03,0.03,26/04/2025 21:50:47,6884609000,S-001,Banexcoin Bolivia
147,"27/04/2025 10:12:40, UTC -04:00",Completed,Sell,OscarVargas212025,10011,4.18,59.00,BOB,14.12,0.13,27/04/2025 10:12:54,6885377180,S-001,Banexcoin Bolivia
149,"28/04/2025 15:05:19, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,0.49,7.00,BOB,14.38,0.03,28/04/2025 15:05:44,6889197210,S-001,Banexcoin Bolivia
156,"30/04/2025 07:48:10, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,1.00,15.00,BOB,15.00,0.03,30/04/2025 07:48:31,6894779350,S-001,Banexcoin Bolivia
166,"30/04/2025 13:48:38, UTC -04:00",Completed,Sell,AlbertoLeon10007,10008,1.66,25.00,BOB,15.07,0.05,30/04/2025 13:48:53,212022780,S-001,Banexcoin Bolivia
175,"30/04/2025 17:27:21, UTC -04:00",Completed,Sell,RosaMoreno87Mx,10005,290.55,"4,365.00",BOB,15.02,8.72,30/04/2025 17:27:57,6897412220,S-001,Banexcoin Bolivia
176,"30/04/2025 17:33:48, UTC -04:00",Completed,Sell,RosaMoreno87Mx,10005,99.82,"1,500.00",BOB,15.03,2.99,30/04/2025 17:34:21,6897446170,S-001,Banexcoin Bolivia
178,"30/04/2025 20:14:28, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.66,10.00,BOB,15.05,0.03,30/04/2025 20:14:44,212204850,S-001,Banexcoin Bolivia
179,"30/04/2025 20:53:27, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,4.77,72.00,BOB,15.09,0.14,30/04/2025 20:54:14,6898478980,S-001,Banexcoin Bolivia
180,"30/04/2025 21:06:26, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,0.96,14.50,BOB,15.09,0.03,30/04/2025 21:06:51,6898527950,S-001,Banexcoin Bolivia
181,"30/04/2025 22:03:44, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,46.39,700.00,BOB,15.09,1.39,30/04/2025 22:04:51,6898730730,S-001,Banexcoin Bolivia
183,"01/05/2025 22:24:24, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.20,3.00,BOB,15.10,0.03,01/05/2025 22:24:40,212556230,S-001,Banexcoin Bolivia
184,"02/05/2025 08:53:12, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,0.66,10.00,BOB,15.05,0.03,02/05/2025 08:53:27,6908915160,S-001,Banexcoin Bolivia
185,"02/05/2025 08:55:50, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,0.80,12.00,BOB,15.05,0.03,02/05/2025 08:56:01,6908924630,S-001,Banexcoin Bolivia
187,"02/05/2025 12:47:45, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,3.05,46.00,BOB,15.06,0.09,02/05/2025 12:48:11,6909969660,S-001,Banexcoin Bolivia
188,"02/05/2025 15:58:13, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,3.47,52.00,BOB,14.97,0.10,02/05/2025 15:58:42,6910864550,S-001,Banexcoin Bolivia
199,"03/05/2025 08:40:27, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,2.67,40.00,BOB,14.96,0.08,03/05/2025 08:41:10,6913010660,S-001,Banexcoin Bolivia
200,"03/05/2025 09:02:41, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,130.76,"1,960.00",BOB,14.99,3.92,03/05/2025 09:03:09,6913067480,S-001,Banexcoin Bolivia
203,"05/05/2025 07:48:00, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,1.07,16.00,BOB,15.01,0.03,05/05/2025 07:48:12,6919899640,S-001,Banexcoin Bolivia
206,"05/05/2025 08:57:53, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,166.45,"2,500.00",BOB,15.02,4.99,05/05/2025 08:58:34,6920109960,S-001,Banexcoin Bolivia
210,"06/05/2025 14:45:41, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,3.13,47.10,BOB,15.03,0.09,06/05/2025 14:45:55,6925730670,S-001,Banexcoin Bolivia
211,"06/05/2025 14:53:10, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.93,14.00,BOB,15.03,0.03,06/05/2025 14:53:22,214243200,S-001,Banexcoin Bolivia
212,"06/05/2025 18:34:44, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.53,8.00,BOB,15.11,0.03,06/05/2025 18:35:07,6926765130,S-001,Banexcoin Bolivia
213,"06/05/2025 19:28:35, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,7.29,110.00,BOB,15.09,0.22,06/05/2025 19:28:55,6927017980,S-001,Banexcoin Bolivia
214,"07/05/2025 07:42:12, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,1.06,16.00,BOB,15.06,0.03,07/05/2025 07:42:36,6927940760,S-001,Banexcoin Bolivia
218,"07/05/2025 11:31:17, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,6.94,104.94,BOB,15.12,0.21,07/05/2025 11:31:36,6928818180,S-001,Banexcoin Bolivia
219,"07/05/2025 11:39:22, UTC -04:00",Completed,Sell,OscarVargas212025,10011,7.87,119.00,BOB,15.12,0.24,07/05/2025 11:39:40,6928853750,S-001,Banexcoin Bolivia
224,"08/05/2025 09:01:31, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.20,3.00,BOB,15.15,0.03,08/05/2025 09:01:46,214822560,S-001,Banexcoin Bolivia
231,"08/05/2025 10:43:06, UTC -04:00",Completed,Sell,AlbertoLeon10007,10008,2.31,35.00,BOB,15.17,0.07,08/05/2025 10:43:40,6932382600,S-001,Banexcoin Bolivia
239,"08/05/2025 12:59:35, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,3.09,47.00,BOB,15.22,0.09,08/05/2025 13:00:10,6933000080,S-001,Banexcoin Bolivia
243,"08/05/2025 13:55:04, UTC -04:00",Completed,Sell,AlbertoLeon10007,10008,0.98,15.00,BOB,15.23,0.03,08/05/2025 13:55:29,214936680,S-001,Banexcoin Bolivia
246,"08/05/2025 18:16:46, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,32.62,498.00,BOB,15.27,0.98,08/05/2025 18:17:09,6934362780,S-001,Banexcoin Bolivia
250,"08/05/2025 20:50:13, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.98,15.00,BOB,15.25,0.03,08/05/2025 20:50:25,215092840,S-001,Banexcoin Bolivia
252,"09/05/2025 07:45:56, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,0.65,10.00,BOB,15.29,0.03,09/05/2025 07:46:11,6935680880,S-001,Banexcoin Bolivia
262,"09/05/2025 11:47:30, UTC -04:00",Completed,Sell,CristinaSuarez852025,10003,5.90,90.00,BOB,15.25,0.18,09/05/2025 11:47:52,215234340,S-001,Banexcoin Bolivia
263,"09/05/2025 17:44:49, UTC -04:00",Completed,Sell,MonicaTorres55123,10021,0.65,10.00,BOB,15.27,0.03,09/05/2025 17:45:24,6938208170,S-001,Banexcoin Bolivia
264,"09/05/2025 18:48:01, UTC -04:00",Completed,Sell,MonicaTorres55123,10021,0.07,1.00,BOB,15.28,0.03,09/05/2025 18:48:36,6938505980,S-001,Banexcoin Bolivia
268,"10/05/2025 11:08:18, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,3.67,56.00,BOB,15.27,0.11,10/05/2025 11:08:40,6940368540,S-001,Banexcoin Bolivia
273,"10/05/2025 13:12:40, UTC -04:00",Completed,Sell,BeatrizPerez91Ar,10023,6.55,100.00,BOB,15.26,0.20,10/05/2025 13:12:54,6941031110,S-001,Banexcoin Bolivia
274,"10/05/2025 18:05:39, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.07,1.00,BOB,15.24,0.03,10/05/2025 18:05:53,215717610,S-001,Banexcoin Bolivia
275,"10/05/2025 18:10:35, UTC -04:00",Completed,Sell,AdrianaLopez212024,10004,0.33,5.00,BOB,15.25,0.03,10/05/2025 18:10:57,215719320,S-001,Banexcoin Bolivia
278,"11/05/2025 11:37:37, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,32.82,500.00,BOB,15.23,0.98,11/05/2025 11:37:53,6944339280,S-001,Banexcoin Bolivia
279,"11/05/2025 13:57:11, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,5.97,91.00,BOB,15.24,0.18,11/05/2025 13:57:31,6944829390,S-001,Banexcoin Bolivia
282,"12/05/2025 07:33:49, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,32.75,500.00,BOB,15.27,0.98,12/05/2025 07:34:04,6946483510,S-001,Banexcoin Bolivia
283,"12/05/2025 07:51:15, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,0.98,15.00,BOB,15.26,0.03,12/05/2025 07:51:29,6946516640,S-001,Banexcoin Bolivia
341,"13/05/2025 16:58:44, UTC -04:00",Completed,Sell,RosaRomero97Co,10022,1.58,25.00,BOB,15.78,0.05,13/05/2025 16:59:24,216601450,S-001,Banexcoin Bolivia
352,"14/05/2025 10:10:35, UTC -04:00",Completed,Sell,EduardoAlvarez15Pe,10013,6.16,100.00,BOB,16.23,0.18,14/05/2025 10:11:23,216782230,S-001,Banexcoin Bolivia
353,"14/05/2025 11:48:15, UTC -04:00",Completed,Sell,PabloBlanco44456,10025,1.52,24.88,BOB,16.37,0.05,14/05/2025 11:48:45,6955094430,S-001,Banexcoin Bolivia
356,"14/05/2025 12:05:52, UTC -04:00",Completed,Sell,PabloBlanco44456,10025,4.91,80.50,BOB,16.40,0.15,14/05/2025 12:06:14,216825690,S-001,Banexcoin Bolivia
374,"14/05/2025 17:12:54, UTC -04:00",Completed,Sell,PabloBlanco44456,10025,16.86,277.00,BOB,16.43,0.51,14/05/2025 17:13:20,6956520480,S-001,Banexcoin Bolivia
375,"14/05/2025 19:53:16, UTC -04:00",Completed,Sell,PabloBlanco44456,10025,7.60,128.00,BOB,16.85,0.23,14/05/2025 19:53:37,6957246580,S-001,Banexcoin Bolivia
376,"14/05/2025 20:03:34, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,4.87,82.00,BOB,16.85,0.15,14/05/2025 20:03:57,6957293130,S-001,Banexcoin Bolivia
378,"14/05/2025 22:22:29, UTC -04:00",Completed,Sell,RosaRomero97Co,10022,0.29,5.00,BOB,16.97,0.03,14/05/2025 22:22:44,6957727130,S-001,Banexcoin Bolivia
382,"15/05/2025 08:49:51, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.11,2.00,BOB,18.17,0.03,15/05/2025 08:50:04,217091440,S-001,Banexcoin Bolivia
395,"15/05/2025 19:35:10, UTC -04:00",Completed,Sell,AlbertoLeon10007,10008,2.38,42.00,BOB,17.67,0.07,15/05/2025 19:35:44,6961309080,S-001,Banexcoin Bolivia
396,"15/05/2025 20:38:34, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,3.85,68.00,BOB,17.68,0.12,15/05/2025 20:38:56,6961586030,S-001,Banexcoin Bolivia
399,"16/05/2025 09:42:08, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,0.56,10.00,BOB,17.75,0.03,16/05/2025 09:42:37,6962687680,S-001,Banexcoin Bolivia
401,"16/05/2025 10:20:19, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,0.28,5.00,BOB,17.67,0.03,16/05/2025 10:20:47,6962848760,S-001,Banexcoin Bolivia
410,"16/05/2025 18:23:36, UTC -04:00",Completed,Sell,FernandoGonzalez47Mx,10015,1.15,20.00,BOB,17.41,0.03,16/05/2025 18:23:53,6964985140,S-001,Banexcoin Bolivia
411,"17/05/2025 11:45:00, UTC -04:00",Completed,Sell,EduardoAlvarez15Pe,10013,9.91,171.30,BOB,17.29,0.30,17/05/2025 11:45:18,217869250,S-001,Banexcoin Bolivia
412,"17/05/2025 12:37:08, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,2.89,50.00,BOB,17.31,0.09,17/05/2025 12:37:30,6967531580,S-001,Banexcoin Bolivia
414,"17/05/2025 14:46:34, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.17,3.00,BOB,17.18,0.03,17/05/2025 14:46:48,217937890,S-001,Banexcoin Bolivia
417,"17/05/2025 19:54:21, UTC -04:00",Completed,Sell,PabloBlanco44456,10025,0.58,10.00,BOB,17.18,0.03,17/05/2025 19:54:48,6969452770,S-001,Banexcoin Bolivia
419,"17/05/2025 20:04:19, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,4.19,72.00,BOB,17.19,0.13,17/05/2025 20:04:34,6969490810,S-001,Banexcoin Bolivia
420,"17/05/2025 20:43:07, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,4.66,80.00,BOB,17.18,0.14,17/05/2025 20:43:22,6969636220,S-001,Banexcoin Bolivia
421,"19/05/2025 12:05:04, UTC -04:00",Completed,Sell,MariaFlores93Max,10006,0.93,16.00,BOB,17.26,0.03,19/05/2025 12:05:52,6974105580,S-001,Banexcoin Bolivia
427,"19/05/2025 16:00:38, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,4.30,74.00,BOB,17.23,0.13,19/05/2025 16:00:54,6975123290,S-001,Banexcoin Bolivia
430,"19/05/2025 17:20:09, UTC -04:00",Completed,Sell,GabrielBlanco25Mx,10014,0.69,12.00,BOB,17.31,0.03,19/05/2025 17:20:24,218522810,S-001,Banexcoin Bolivia
432,"19/05/2025 17:59:33, UTC -04:00",Completed,Sell,FernandoRomero91Bo,10020,2.88,50.00,BOB,17.35,0.09,19/05/2025 17:59:46,218537710,S-001,Banexcoin Bolivia
452,"20/05/2025 07:56:03, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,1.05,18.00,BOB,17.22,0.03,20/05/2025 07:56:25,6976930600,S-001,Banexcoin Bolivia
508,"20/05/2025 12:35:54, UTC -04:00",Completed,Sell,MonicaTorres77Mx,10047,1.16,20.00,BOB,17.20,0.03,20/05/2025 12:36:38,6978029590,S-001,Banexcoin Bolivia
523,"20/05/2025 14:23:08, UTC -04:00",Completed,Sell,RosaMolina92456,10030,0.58,10.00,BOB,17.22,0.03,20/05/2025 14:23:32,6978489050,S-001,Banexcoin Bolivia
538,"20/05/2025 17:32:09, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,2.61,45.00,BOB,17.22,0.08,20/05/2025 18:29:11,6979277540,S-001,Banexcoin Bolivia
540,"20/05/2025 17:57:43, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,5.34,92.00,BOB,17.23,0.16,20/05/2025 17:57:56,6979394290,S-001,Banexcoin Bolivia
541,"20/05/2025 18:11:04, UTC -04:00",Completed,Sell,MartaMunoz402024,10050,13.65,235.00,BOB,17.22,0.41,20/05/2025 18:32:02,6979452220,S-001,Banexcoin Bolivia
543,"20/05/2025 18:49:05, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,0.64,11.00,BOB,17.22,0.03,20/05/2025 18:49:24,218876610,S-001,Banexcoin Bolivia
544,"20/05/2025 19:02:10, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,2.03,35.00,BOB,17.22,0.06,20/05/2025 19:02:27,6979653340,S-001,Banexcoin Bolivia
545,"20/05/2025 19:07:47, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,1.74,30.00,BOB,17.22,0.05,20/05/2025 19:07:59,6979678860,S-001,Banexcoin Bolivia
559,"20/05/2025 21:00:31, UTC -04:00",Completed,Sell,VictorFernandez452024,10001,2.90,50.00,BOB,17.24,0.09,20/05/2025 21:00:52,218916280,S-001,Banexcoin Bolivia
582,"21/05/2025 09:52:38, UTC -04:00",Completed,Sell,FernandoRodriguez54123,10012,1.05,18.00,BOB,17.21,0.03,21/05/2025 09:52:54,6981044680,S-001,Banexcoin Bolivia
592,"21/05/2025 10:53:55, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,1.45,25.00,BOB,17.23,0.04,21/05/2025 10:54:07,6981304220,S-001,Banexcoin Bolivia
600,"21/05/2025 11:57:58, UTC -04:00",Completed,Sell,LuisRodriguez942025,10067,0.29,5.00,BOB,17.26,0.03,21/05/2025 11:59:04,6981586780,S-001,Banexcoin Bolivia
601,"21/05/2025 12:20:04, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,3.48,60.00,BOB,17.23,0.10,21/05/2025 12:20:19,6981687980,S-001,Banexcoin Bolivia
605,"21/05/2025 12:43:24, UTC -04:00",Completed,Sell,PabloBlanco44456,10025,17.39,300.00,BOB,17.25,0.52,21/05/2025 12:43:58,6981802900,S-001,Banexcoin Bolivia
613,"21/05/2025 13:43:24, UTC -04:00",Completed,Sell,LuciaMolina79Max,10064,1.45,25.00,BOB,17.22,0.04,21/05/2025 13:44:20,6982074920,S-001,Banexcoin Bolivia
614,"21/05/2025 13:59:54, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,1.75,30.00,BOB,17.19,0.05,21/05/2025 14:00:07,6982140160,S-001,Banexcoin Bolivia
619,"21/05/2025 16:15:33, UTC -04:00",Completed,Sell,AntonioSanchez14Max,10027,2.96,51.00,BOB,17.22,0.09,21/05/2025 16:15:47,6982734400,S-001,Banexcoin Bolivia
